id	Base Model	Tokenizer	Language	Tag Set	Normalization	Preprocessing	Encoding	BLEU Score	SemScore
INTMT-5085	mT5-large	mT5	EN	OB	Preserved	Diacritics	emb-sum	0.8268498308315526	0.3363153636455536
INTMT-4904	GreTa	GreTa	PL	OB	Preserved	Diacritics	emb-concat	0.8416560789341914	0.620362401008606
INTMT-4848	GreTa	GreTa	PL	OB	Simplified	Normalized	t-w-t	0.7789547324507303	0.5555328726768494
INTMT-4888	GreTa	GreTa	PL	BH	Preserved	Diacritics	emb-concat	0.7149401246427637	0.591718852519989
INTMT-4915	mT5-base	mT5	EN	OB	Simplified	Normalized	emb-concat	0.689322423471809	0.3403800725936889
INTMT-5045	mT5-large	mT5	EN	BH	Simplified	Normalized	emb-concat	0.7028907372874267	0.3718126118183136
INTMT-4663	GreTa	GreTa	PL	Unused	Preserved	Diacritics	baseline	0.8584723262654113	0.5335253477096558
INTMT-4892	mT5-base	mT5	PL	BH	Preserved	Diacritics	emb-concat	0.790131149233767	0.67034912109375
INTMT-4816	GreTa	GreTa	PL	Unused	Simplified	Normalized	baseline	0.6325003266983904	0.4946745336055755
INTMT-4840	GreTa	GreTa	PL	OB	Preserved	Diacritics	t-w-t	0.742726330849808	0.5394736528396606
INTMT-4908	mT5-base	mT5	PL	OB	Preserved	Diacritics	emb-concat	0.630733478614801	0.6310024857521057
INTMT-4832	GreTa	GreTa	PL	BH	Simplified	Normalized	t-w-t	0.5645884685363809	0.4855698347091675
INTMT-4824	GreTa	GreTa	PL	BH	Preserved	Diacritics	t-w-t	0.4881545880643166	0.5087211728096008
INTMT-4916	mT5-base	mT5	PL	OB	Simplified	Normalized	emb-concat	0.4527950657309205	0.6715673804283142
INTMT-5038	mT5-large	mT5	PL	BH	Preserved	Diacritics	emb-concat	0.5662833976323568	0.6832551956176758
INTMT-4852	mT5-base	mT5	PL	OB	Simplified	Normalized	t-w-t	0.2434440923379992	0.6561891436576843
INTMT-4770	PhilTa	PhilTa	PL	OB	Simplified	Normalized	emb-concat	0.2592295922240362	0.5774074196815491
INTMT-4754	PhilTa	PhilTa	PL	BH	Simplified	Normalized	emb-concat	0.2588143701524642	0.5754225850105286
INTMT-5126	mT5-large	mT5	PL	BH	Simplified	Normalized	t-w-t	0.1748536858482341	0.4471789002418518
INTMT-4794	PhilTa	PhilTa	PL	OB	Preserved	Diacritics	emb-sum	0.1239720680253282	0.5502950549125671
INTMT-4746	PhilTa	PhilTa	PL	BH	Preserved	Diacritics	emb-concat	0.1083742010252299	0.5759475827217102
INTMT-4762	PhilTa	PhilTa	PL	OB	Preserved	Diacritics	emb-concat	0.1250816554239512	0.5316969752311707
INTMT-4842	PhilTa	PhilTa	PL	OB	Preserved	Diacritics	t-w-t	0.0806643813143983	0.5553142428398132
INTMT-4834	PhilTa	PhilTa	PL	BH	Simplified	Normalized	t-w-t	0.0806707883257036	0.5173888802528381
INTMT-4673	PhilTa	PhilTa	PL	Unused	Simplified	Normalized	baseline	0.0734118863946772	0.4235637187957763
INTMT-4850	PhilTa	PhilTa	PL	OB	Simplified	Normalized	t-w-t	0.0539854449072322	0.5026774406433105
INTMT-4826	PhilTa	PhilTa	PL	BH	Preserved	Diacritics	t-w-t	0.0388066050268314	0.5430311560630798
INTMT-4665	PhilTa	PhilTa	PL	Unused	Preserved	Diacritics	baseline	0.0319945624744146	0.1793877482414245
